Artist Name,Popularity,danceability,energy,key,mode,acousticness,instrumentalness,liveness,valence,tempo,Class
Bruno Mars,60,0.854,0.564,1,1,0.0171,,0.0849,0.899,134.071,5
Boston,54,0.382,0.814,3,1,0.0011,0.00401,0.101,0.569,116.454,10
The Raincoats,35,0.434,0.614,6,1,0.486,0.000196,0.394,0.787,147.681,6
Deno,66,0.853,0.597,10,0,0.0212,,0.122,0.569,107.033,5
Red Hot Chili Peppers,53,0.167,0.975,2,1,0.000169,0.0161,0.172,0.0918,199.06,10
The Stooges,53,0.235,0.977,6,1,0.00353,0.00604,0.172,0.241,152.952,6
Solomon Burke,48,0.674,0.658,5,0,0.404,1.34E-06,0.0981,0.677,143.292,2
Randy Travis,55,0.657,0.415,5,1,0.175,5.65E-06,0.132,0.347,96.03,4
Professional Murder Music,29,0.431,0.776,10,1,2.21E-05,0.0013,0.179,0.318,120.857,8
Dudu Aharon,14,0.716,0.885,1,0,0.0614,,0.253,0.833,128.043,9
Mohammed Rafi,11,0.491,0.563,7,0,0.957,0.0023,0.263,0.843,95.558,3
Arctic Monkeys,59,0.387,0.922,9,0,0.00487,,0.187,0.417,146.478,10
Eyal Golan,34,0.585,0.381,1,0,0.435,,0.126,0.322,143.876,9
"Harald Lassen, Bram de Looze",34,0.462,0.374,11,0,0.949,0.929,0.131,0.174,122.939,7
Buffalo Springfield,76,0.653,0.519,2,1,0.406,0.0209,0.101,0.822,98.883,10
Elmore James,37,0.431,0.852,2,1,0.564,0.208,0.254,0.794,67.601,2
Dudu Aharon,14,0.713,0.939,5,0,0.11,5.88E-06,0.331,0.88,108.034,9
Velvet Two Stripes,31,0.564,0.801,1,0,0.00233,0.0078,0.067,0.401,105.01,10
Eden Ben Zaken,29,0.57,0.458,9,0,0.502,2.35E-06,0.134,0.19,93.088,9
DaBaby,70,0.852,0.73,1,1,0.0219,,0.336,0.394,92.506,5
Mura Masa,48,0.347,0.411,6,1,0.0181,0.636,0.0975,0.395,171.991,6
Clairmont The Second,44,0.796,0.441,7,1,0.16,2.89E-05,0.118,0.371,158.105,1
Krankhead,29,0.805,0.448,7,1,0.0602,1.79E-06,0.113,0.775,160.018,5
The Stone Roses,44,0.472,0.947,9,1,9.43E-06,0.0155,0.364,0.75,98.784,10
R3HAB,44,0.556,0.188,8,1,0.494,,0.119,0.184,138.091,9
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",,0.548,0.711,10,1,0.542,9.59E-05,0.355,0.618,119.675,0
MC Hammer,73,0.867,0.517,11,0,0.00456,0.000339,0.0864,0.866,133.148,9
duendita,35,0.341,0.47,5,1,0.226,0.105,0.518,0.203,144.109,1
Rainbow,66,0.733,0.726,7,1,0.379,2.58E-06,0.471,0.915,120.814,8
fijitrip,30,0.696,0.661,6,1,0.00103,3.21E-05,0.114,0.397,121.032,6
Machine Gun Kelly,81,0.517,0.848,10,1,0.00581,,0.214,0.429,95.906,9
ShittyCT,4,0.437,0.948,5,0,0.000234,,0.0876,0.517,170.023,6
Tetrarch,49,0.384,0.974,1,0,0.000153,0.000247,0.226,0.155,194.842,8
Dreezy,42,0.858,0.525,,1,0.0443,0.00738,0.197,0.351,170.875,5
The Ayoub Sisters,16,0.297,0.0958,,1,0.844,0.855,0.126,0.296,80.672,7
Brandon Jack & The Artifacts,29,0.516,0.948,2,1,0.0279,0.0564,0.15,0.957,170.087,1
Moon Guitar,47,0.32,0.242,,1,0.941,0.93,0.165,0.431,81.09,7
Ivri Lider,47,0.661,0.407,4,1,0.713,,0.115,0.337,127.873,9
Vieux Farka Touré,37,0.569,0.751,7,1,0.365,0.856,0.0561,0.758,105.156,2
Kvelertak,44,0.357,0.977,1,0,1.60E-05,0.892,0.105,0.28,159.81,8
Better Than Ezra,63,0.615,0.657,7,1,0.000372,0.0204,0.132,0.792,109.95,10
Lior Narkis,44,0.479,0.444,,1,0.857,,0.141,0.236,107.915,9
Silversun Pickups,65,0.633,0.831,4,1,0.0401,0.693,0.117,0.243,127.397,10
Lilly Wood and The Prick,,0.618,0.438,11,1,0.407,,0.5,0.651,155.014,6
Orange Juice,55,0.881,0.546,7,1,0.0532,0.000149,0.0497,0.852,102.814,6
U2,49,0.624,0.528,9,0,0.0286,0.00516,0.0866,0.33,120.049,10
Omer Adam,37,0.607,0.503,2,1,0.446,,0.173,0.473,135.606,9
The Clash,56,0.799,0.789,,1,0.0595,,0.0338,0.831,116.083,10
Victor Manu,47,0.494,0.0634,2,1,0.984,0.926,0.11,0.15,78.227,7
The Last Shadow Puppets,49,0.52,0.642,9,1,0.000517,0.0017,0.0794,0.449,88.967,10
Anne-Marie,48,0.595,0.759,11,0,0.141,,0.172,0.515,80.953,9
How Lucky,,0.523,0.441,5,1,0.465,0.00268,0.365,0.49,171.246,0
Sly & The Family Stone,28,0.566,0.943,,1,0.00488,0.346,0.728,0.324,117.813,10
Veruca Salt,47,0.612,0.86,8,1,0.00253,0.00153,0.158,0.687,136.212,1
Juice WRLD,77,0.63,0.446,1,1,0.337,,0.166,0.177,143.078,5
BENEE,53,0.521,0.532,9,0,0.563,0.000435,0.386,0.326,95.19,9
Berry Sakharof,18,0.501,0.474,2,1,0.608,0.885,0.147,0.281,102.404,10
Ganser,9,0.185,0.865,9,1,0.000632,0.807,0.112,0.0789,84.031,6
Dion,34,0.532,0.685,4,0,0.0208,0.000154,0.303,0.648,140.036,2
Nick Cave & The Bad Seeds,41,0.415,0.94,,1,0.0049,,0.144,0.439,134.392,1
Soen,49,0.425,0.403,4,0,0.0792,0.0049,0.113,0.135,155.761,10
Vani Jairam,20,0.373,0.707,1,0,0.668,3.68E-05,0.361,0.75,89.1,3
Liam Gallagher,59,0.39,0.646,6,1,0.0904,,0.114,0.271,120.755,10
The Pretty Things,38,0.439,0.795,2,1,0.00407,0.00114,0.296,0.789,84.846,6
Tha Dogg Pound,56,0.827,0.532,2,1,0.0219,2.91E-05,0.127,0.694,87.257,5
BLAB,26,0.709,0.685,2,1,0.0355,0.0268,0.0389,0.7,129.987,1
Mighty Sam McClain,41,0.583,0.143,,1,0.676,2.84E-05,0.117,0.533,156.009,2
Trillary Banks,35,0.704,0.579,6,1,0.287,,0.139,0.712,142.815,5
El Goodo,30,0.247,0.88,2,1,2.01E-05,0.309,0.122,0.333,134.445,10
Keb' Mo',54,0.801,0.637,,1,0.169,3.75E-05,0.0925,0.769,77.012,2
Why Bonnie,24,0.539,0.578,4,1,0.0987,0.000923,0.28,0.353,102.03,10
Snoop Dogg,63,0.907,0.695,11,0,0.246,,0.0808,0.961,101.007,5
MOD SUN,68,0.667,0.636,8,1,0.022,,0.0908,0.152,158.058,10
Turbo Knight,43,0.436,0.944,10,1,0.0035,0.972,0.105,0.588,110.002,6
The Black Crowes,41,0.366,0.662,4,1,0.00261,,0.0594,0.362,148.34,10
"Britney Spears, will.i.am",41,0.777,0.71,,1,0.0295,,0.192,0.673,129.945,9
Radiohead,57,0.54,0.847,11,1,0.303,0.272,0.109,0.62,148.936,10
Oceans,42,0.435,0.889,11,0,2.38E-05,0.000872,0.87,0.344,93.896,8
Arctic Monkeys,79,0.288,0.758,6,0,0.00616,,0.303,0.619,97.094,10
The Stranglers,71,0.562,0.383,6,1,0.143,0.124,0.138,0.599,93.764,10
Itay Levi,33,0.683,0.347,1,1,0.549,,0.0907,0.437,80.009,9
Joe Bonamassa,44,0.411,0.91,2,1,0.000243,0.00082,0.0931,0.613,106.675,10
LeRoi Thirteen,41,0.49,0.974,8,1,0.000546,0.225,0.336,0.257,108.946,8
Us The Duo,55,0.374,0.35,10,1,0.843,,0.188,0.129,74.464,0
Keller Williams,43,0.633,0.194,8,1,0.885,0.404,0.111,0.421,143.376,2
Primal Scream,63,0.523,0.76,5,1,0.103,0.00068,0.0666,0.581,94.267,10
Lil Son Jackson,35,0.593,0.438,10,0,0.883,0.0167,0.317,0.758,130.225,2
Drake,81,0.809,0.463,11,1,0.256,0.085,0.109,0.364,111.98,9
Abstract Orchestra,45,0.748,0.411,8,0,0.0532,0.0117,0.115,0.339,91.941,5
Luther Allison,13,0.529,0.595,2,1,0.0227,0.0266,0.0326,0.767,134.642,2
Elena Falwell,41,0.167,0.148,,1,0.955,0.897,0.111,0.04,76.412,7
Sharon Van Etten,51,0.543,0.927,,1,0.000342,0.543,0.0327,0.354,120.097,10
beabadoobee,41,0.644,0.891,2,1,0.00111,0.00798,0.118,0.504,110.007,10
R.E.M.,62,0.467,0.432,7,1,0.175,0.001,0.226,0.238,142.642,10
FCG Heem,44,0.514,0.387,6,0,0.0753,,0.0485,0.461,84.112,5
The Beatles,,0.381,0.214,4,1,0.944,,0.106,0.393,127.581,0
Tom The Mail Man,60,0.762,0.516,5,0,0.0288,,0.0966,0.721,156.97,5
ANSON,28,0.357,0.943,4,0,0.000547,,0.145,0.482,147.217,10
Jimmy Eat World,38,0.576,0.931,7,1,0.00085,,0.143,0.735,133.986,10
dempsey hope,3,0.61,0.482,5,1,0.299,,0.0527,0.869,73.628,9
Howie Lee,24,0.491,0.504,4,0,0.625,0.794,0.222,0.145,159.911,6
Pit Pony,25,0.117,0.916,1,1,1.39E-05,0.0992,0.219,0.423,151.886,1
Niko B,63,0.86,0.668,7,1,0.423,1.85E-06,0.096,0.237,128.096,9
Ruthi Navon,22,0.766,0.526,10,1,0.784,0.000214,0.0879,0.934,141.631,10
Dan + Shay,71,0.529,0.621,11,1,0.13,,0.173,0.617,97.189,9
Gossip,55,0.697,0.919,7,1,0.00694,0.0621,0.203,0.943,118.341,6
Gone Is Gone,28,0.407,0.932,11,1,0.00363,0.346,0.229,0.173,102.954,8
Violent Soho,55,0.564,0.753,5,1,0.00512,2.43E-06,0.167,0.414,152.064,10
Mr. Oizo,44,0.744,0.928,10,0,0.000409,0.624,0.132,0.507,123.014,6
Cage The Elephant,65,0.539,0.788,9,0,0.0089,,0.29,0.357,159.986,10
Carusella,11,0.431,0.967,1,1,0.00159,0.0064,0.142,0.179,146.623,6
Faith No More,,0.545,0.919,2,1,0.00269,0.00512,0.0978,0.386,104.364,10
FLO,66,0.266,0.294,7,0,0.771,0.697,0.107,0.0397,137.941,9
Pathiena,40,0.645,0.329,2,1,0.239,0.892,0.375,0.184,128.099,0
The Offspring,59,0.508,0.912,,1,9.75E-05,1.25E-06,0.0669,0.533,139.381,10
Pain of Salvation,42,0.579,0.661,7,1,0.0675,0.000373,0.303,0.374,144.909,10
Lenny Kravitz,,0.521,0.527,2,1,0.0931,0.0244,0.106,0.273,122.271,10
Black Sabbath,16,0.426,0.619,4,0,8.44E-05,0.00239,0.17,0.382,162.721,10
The Dark Element,47,0.449,0.854,3,1,4.62E-05,0.016,0.246,0.408,152.142,8
Henry Gray,19,0.698,0.609,,1,0.743,,0.188,0.665,131.057,2
Eyal Golan,38,0.54,0.425,5,0,0.428,,0.218,0.239,88.047,9
Noah Kahan,59,0.691,0.231,11,1,0.815,,0.103,0.298,85.153,0
The First Edition,57,0.58,0.551,9,0,0.181,0.00719,0.15,0.516,115.896,10
Alka Yagnik,42,0.565,0.754,8,0,0.678,0.0442,0.0756,0.922,135.01,3
Bryan Adams,43,0.616,0.551,7,1,0.155,,0.099,0.618,75.027,10
The Shins,62,0.546,0.878,7,1,0.0133,,0.135,0.35,119.945,1
benny blanco,50,0.618,0.215,2,1,0.759,0.00962,0.109,0.214,90.004,1
The 1975,57,0.639,0.859,1,1,0.18,0.000499,0.0798,0.523,115.97,10
Winger,60,0.577,0.676,8,1,0.000895,2.29E-06,0.0625,0.676,95.98,8
Townes Van Zandt,52,0.551,0.233,6,0,0.71,0.000949,0.11,0.659,89.574,6
Piers Faccini,28,0.454,0.387,2,0,0.406,0.00099,0.0783,0.686,97.995,10
Athletic Progression,37,0.632,0.8,5,0,0.547,,0.147,0.496,92.757,5
Thirty Seconds To Mars,56,0.295,0.715,2,1,0.00212,1.55E-06,0.242,0.242,86.937,10
Pete Rock & C.L. Smooth,50,0.77,0.656,10,0,0.11,,0.0793,0.788,98.82,5
Peter Case,45,0.717,0.245,7,0,0.665,0.000119,0.385,0.502,83.554,2
Menahan Street Band,50,0.778,0.399,1,1,0.0751,0.835,0.103,0.321,137.305,1
Butcher Babies,48,0.438,0.951,7,0,4.63E-05,0.233,0.351,0.461,165.088,8
MICROCORPS,10,0.451,0.776,3,0,0.0518,0.703,0.11,0.609,177.953,6
Sarah Palu,38,0.617,0.375,5,0,0.742,0.513,0.109,0.117,151.983,1
Saltatio Mortis,54,0.565,0.768,2,0,0.0277,,0.0725,0.58,124.006,8
JADHU,32,0.62,0.835,9,0,0.273,0.00339,0.113,0.699,99.022,9
Bring Me The Horizon,69,0.589,0.797,9,1,0.0289,4.35E-06,0.383,0.232,102.489,10
Frost*,38,0.443,0.858,8,1,0.000843,0.00243,0.18,0.34,169.951,8
Toto Espinoza,41,0.605,0.162,4,0,0.98,0.899,0.104,0.126,95.576,7
T-Bone Walker,30,0.624,0.26,1,1,0.904,0.0263,0.0825,0.551,51,2
K. J. Yesudas,7,0.513,0.658,6,0,0.512,,0.21,0.698,145.896,3
Jimi Hendrix,71,0.533,0.905,2,1,0.00876,0.578,0.0698,0.486,108.9,10
Eskiz,21,0.588,0.747,7,1,0.116,7.20E-05,0.244,0.263,138.067,10
Lowest Creature,23,0.487,0.975,11,1,7.47E-05,0.0183,0.201,0.526,139.964,8
Tomer Yeshayahu,30,0.621,0.375,5,1,0.701,1.20E-06,0.122,0.508,132.611,9
Neon Trees,66,0.482,0.829,5,1,0.00034,,0.378,0.739,147.99,10
JJ Lin,69,0.369,0.424,7,1,0.64,,0.184,0.181,179.597,9
Foreign Air,50,0.552,0.673,9,0,0.00553,,0.114,0.174,89.993,6
S. P. Balasubrahmanyam,34,0.548,0.347,7,0,0.771,0.00175,0.124,0.498,117.75,3
Scary Kids Scaring Kids,49,0.421,0.935,8,0,0.000442,0.000212,0.1,0.455,165.02,10
Lawrence of Arcadia,30,0.524,0.336,2,1,0.841,0.00118,0.111,0.458,110.964,0
Nirvana,65,0.436,0.876,10,0,3.33E-05,0.000104,0.205,0.512,157.044,1
Berry Sakharof,17,0.5,0.47,,1,0.642,0.0511,0.276,0.346,158.809,10
Breezie 311,32,0.705,0.756,9,0,0.00477,,0.0892,0.846,129.98,10
